,A. Training Objectives,B.   Training Expectations,C.  Training Materials/Handouts,1. Selection of Topics,2.  Usefulness of Training ,3. Sequencing of Topics,4.  Organization of Training Activities,5.  Scheduling of Activities  ,6.  Length of Training,Program Methodologies [Lecture/Discussion],Program Methodologies [Presentation],Program Methodologies [Exercises/Workshops],Program Methodologies [Small Group Discussion],Appropriateness of Instructional Materials,F. Course Logistics [Training Site/Venue],F. Course Logistics [Training Facilities],F. Course Logistics [Accommodation],F. Course Logistics [Food],F. Course Logistics [Training Equipment Used],F. Course Logistics [Pre-Training Arrangements/Coordination],G. Learning of Participants [Degree of learning acquired],G. Learning of Participants [Expectations were adequately met],G. Learning of Participants [Actively involved in the learning process],H.  Which part of the training did you find most rewarding? ,I. Which part of the training did you find particularly challenging? ,J. How can the delivery of the training be enhanced? 
27,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,4,data gathering strats,data gathering,how to get data from other sources
28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The Data gathering techniques suggestion,Scoring,.
29,5,5,4,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,Sharing ideas,In data gathering,Job well done
30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The Indicators,Data Collection,
31,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Gathering, Computation, Validation","Gathering, Computation, Validation",Kudos nice1 fuiyoh 
32,4,4,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,4,4,4,4,4,The workshop itself,Data gathering,Continous workshop
33,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,the sharing of strategies of lgu reps,the actual data collection.,none
34,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Group discussion ,Data gathering ,More details on required data to gatt
35,5,4,5,5,5,5,5,3,3,2,2,2,2,5,2,2,2,2,2,2,3,3,3,Group discussion ,Gathering data,Gathered data as of now
36,5,5,5,5,5,5,5,5,5,2,2,2,2,5,2,2,2,2,2,2,3,3,3,The computation part,Data collection ,A little help from the provincial level
37,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,The data gathering itself ,Per Departments data,More coaches or consultants
38,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,4,4,4,All,Data gathering,Its very informative thank u
39,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,-,-,-
40,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,  All of them,Data gathering,Im satisfied with your training
41,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Sharing of knowledge ,Data collection ,None 
42,5,5,5,5,5,5,5,5,5,2,2,2,2,5,5,5,5,5,5,5,5,5,5,2 days workshop,1st day,very interesting 
43,5,5,5,5,5,5,4,3,3,3,4,5,5,4,5,5,5,5,5,2,5,5,5,small groups,data gathering,Provision of SAMPLES.
44,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,During breakout session ,When filling up the required data per indicator,
45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Computing data using a formula,Collecting data to be used in a formula,
